               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,           0.0098156,            0.004675,                   0,             0.96364,             0.90289,             0.96062,             0.80018,            0.010763,           0.0046964,                   0,            0.070207,           0.0033103,           0.0033103
                   1,            0.010488,            0.004454,                   0,             0.94546,             0.92769,             0.96873,             0.78535,             0.01189,           0.0049047,                   0,            0.040075,           0.0065121,           0.0065121
                   2,             0.01106,           0.0044467,                   0,             0.94654,             0.91455,             0.96104,             0.76137,            0.011907,           0.0048202,                   0,           0.0098118,           0.0095819,           0.0095819
                   3,            0.012422,           0.0048863,                   0,                0.94,             0.89463,             0.94635,             0.74779,            0.011646,           0.0048919,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.012458,           0.0053662,                   0,             0.94833,             0.91009,             0.95487,             0.74328,            0.011987,           0.0051528,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.012466,           0.0053726,                   0,              0.9261,             0.92769,             0.95312,             0.76461,            0.011811,           0.0051198,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.013048,           0.0055723,                   0,             0.94885,             0.90496,             0.96305,             0.76153,            0.012043,           0.0048288,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.013311,           0.0057482,                   0,             0.96607,             0.88245,             0.95695,             0.76422,            0.011388,           0.0046519,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.012935,           0.0055056,                   0,             0.95005,              0.9038,             0.95054,             0.75469,            0.012484,           0.0050106,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.012539,           0.0054715,                   0,             0.91508,             0.92975,             0.95048,             0.75683,            0.011871,           0.0048438,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.012825,           0.0055379,                   0,             0.95037,             0.90999,             0.96552,             0.77006,            0.011786,           0.0048497,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.012589,           0.0053954,                   0,               0.961,             0.91646,             0.95488,             0.74052,            0.011842,           0.0047585,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.012891,           0.0058469,                   0,               0.951,             0.88223,             0.95211,             0.74697,            0.012581,           0.0049191,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.012607,           0.0054337,                   0,             0.94126,             0.89398,             0.95294,             0.76397,            0.012164,           0.0046494,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.012186,           0.0054626,                   0,             0.94727,             0.92801,             0.96198,             0.76937,            0.011632,           0.0048182,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.012075,           0.0052815,                   0,             0.94528,              0.8843,             0.96068,             0.77412,             0.01153,           0.0046395,                   0,            0.007228,            0.007228,            0.007228
                  16,             0.01234,           0.0053814,                   0,             0.92623,             0.92562,             0.95847,             0.77429,            0.011537,            0.004835,                   0,             0.00703,             0.00703,             0.00703
