                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.19182,                0.16557,                0.86132,                0.96134,                0.89876,                0.95538,                0.82983,                0.65807,                0.40705,                 1.3762,             0.00066207,             0.00066207,             0.00066207
                      2,                0.17937,                 0.1508,                0.86115,                0.94847,                0.91263,                0.94789,                0.81984,                0.70326,                 0.4246,                 1.4308,              0.0013024,              0.0013024,              0.0013024
                      3,                0.19654,                0.15951,                0.86029,                0.93547,                0.90702,                 0.9526,                0.81664,                0.70659,                0.41563,                 1.4364,              0.0019164,              0.0019164,              0.0019164
                      4,                 0.2064,                0.16805,                0.86437,                0.91799,                0.92355,                0.96218,                0.82126,                0.68889,                0.44882,                 1.3652,              0.0018812,              0.0018812,              0.0018812
                      5,                 0.2136,                0.17311,                0.86737,                0.95571,                0.90909,                0.96037,                 0.8173,                0.73341,                0.43158,                 1.4605,              0.0018416,              0.0018416,              0.0018416
                      6,                0.22022,                0.17153,                0.86889,                 0.9212,                0.90289,                 0.9516,                0.82968,                0.67949,                0.45646,                 1.3365,               0.001802,               0.001802,               0.001802
                      7,                0.22302,                0.17737,                0.86792,                0.93426,                0.88085,                0.94861,                0.82224,                0.71444,                0.48676,                 1.4065,              0.0017624,              0.0017624,              0.0017624
                      8,                0.21714,                0.17312,                0.86938,                0.94769,                 0.8984,                0.95621,                0.82367,                0.69051,                0.48056,                 1.3614,              0.0017228,              0.0017228,              0.0017228
                      9,                0.21488,                0.17438,                0.87272,                0.91346,                0.89413,                0.94392,                0.81881,                0.69398,                0.46336,                 1.3919,              0.0016832,              0.0016832,              0.0016832
                     10,                0.22369,                0.17729,                  0.872,                0.96915,                 0.8719,                0.95671,                0.81793,                 0.7178,                0.49146,                   1.41,              0.0016436,              0.0016436,              0.0016436
                     11,                 0.2225,                0.17665,                0.87336,                0.94444,                0.91313,                0.96137,                0.81058,                0.72482,                 0.4488,                 1.4207,               0.001604,               0.001604,               0.001604
                     12,                0.22095,                0.18157,                0.87099,                0.94612,                0.90909,                0.96425,                0.81648,                0.71171,                0.46882,                 1.3564,              0.0015644,              0.0015644,              0.0015644
                     13,                0.22035,                0.17773,                0.87568,                 0.9692,                 0.9101,                0.95851,                0.81946,                0.72411,                0.44494,                 1.3901,              0.0015248,              0.0015248,              0.0015248
                     14,                0.21271,                0.17307,                0.86839,                0.96676,                0.86983,                0.95142,                0.82228,                0.72195,                0.45101,                  1.413,              0.0014852,              0.0014852,              0.0014852
                     15,                0.22182,                0.17639,                0.87153,                0.97085,                0.89454,                0.96213,                0.82637,                 0.7122,                0.44143,                 1.4252,              0.0014456,              0.0014456,              0.0014456
                     16,                0.21914,                0.18048,                0.87314,                 0.9729,                0.90083,                0.96514,                0.81892,                0.70763,                0.42031,                 1.4026,               0.001406,               0.001406,               0.001406
                     17,                0.21141,                0.17349,                0.86938,                0.97239,                 0.8733,                0.96133,                0.82058,                0.71788,                0.45065,                 1.4593,              0.0013664,              0.0013664,              0.0013664
                     18,                0.22256,                0.18097,                0.87309,                0.93391,                0.87603,                 0.9492,                0.81476,                0.74732,                0.49701,                 1.4867,              0.0013268,              0.0013268,              0.0013268
                     19,                0.21064,                0.17058,                0.87275,                0.96023,                0.90909,                0.96135,                0.81513,                0.73559,                0.42297,                 1.4897,              0.0012872,              0.0012872,              0.0012872
                     20,                0.21547,                0.17547,                0.86785,                0.93867,                0.91701,                0.95954,                0.82002,                0.71047,                0.45846,                 1.4393,              0.0012476,              0.0012476,              0.0012476
                     21,                0.21304,                0.17231,                0.86928,                0.93418,                0.90912,                0.95422,                0.81748,                0.70245,                0.43529,                 1.4134,               0.001208,               0.001208,               0.001208
                     22,                0.21247,                0.17063,                0.87252,                0.96419,                0.89004,                0.95662,                0.82003,                0.71482,                0.44112,                 1.4335,              0.0011684,              0.0011684,              0.0011684
                     23,                0.20562,                0.17089,                0.87071,                0.96041,                0.90221,                0.96677,                0.80936,                0.70331,                0.43969,                  1.397,              0.0011288,              0.0011288,              0.0011288
                     24,                0.20622,                0.16956,                0.86724,                 0.9562,                0.90219,                0.95586,                0.81428,                0.68423,                0.45774,                 1.3806,              0.0010892,              0.0010892,              0.0010892
                     25,                0.20779,                0.17129,                0.87218,                0.93506,                0.89253,                0.94854,                0.79536,                 0.7315,                0.42658,                 1.4698,              0.0010496,              0.0010496,              0.0010496
                     26,                0.20333,                0.16631,                0.86943,                0.93997,                 0.9058,                   0.96,                0.82297,                0.69554,                0.39682,                 1.4057,                0.00101,                0.00101,                0.00101
                     27,                0.20205,                0.16534,                0.86738,                0.96025,                0.89836,                0.95305,                0.80234,                0.70148,                0.43339,                 1.3907,              0.0009704,              0.0009704,              0.0009704
                     28,                0.20386,                0.16731,                 0.8694,                0.95609,                0.91942,                0.96017,                0.82049,                0.69292,                0.42982,                 1.3812,              0.0009308,              0.0009308,              0.0009308
                     29,                0.20328,                0.16688,                0.86817,                0.94233,                0.91148,                0.95892,                0.81741,                0.69823,                0.43579,                 1.3819,              0.0008912,              0.0008912,              0.0008912
                     30,                0.19726,                0.16383,                0.86884,                0.97087,                0.89513,                0.96757,                0.81538,                0.69849,                0.45613,                 1.3779,              0.0008516,              0.0008516,              0.0008516
                     31,                0.19802,                0.16335,                0.86789,                0.96724,                0.91512,                 0.9671,                0.82784,                0.67932,                0.39665,                 1.4207,               0.000812,               0.000812,               0.000812
                     32,                0.19556,                0.16171,                 0.8636,                0.96103,                0.91709,                0.96391,                 0.8318,                0.70268,                0.40519,                 1.4559,              0.0007724,              0.0007724,              0.0007724
                     33,                0.20419,                0.16773,                0.86489,                 0.9685,                0.88929,                0.95773,                0.83062,                0.69413,                0.43972,                 1.4214,              0.0007328,              0.0007328,              0.0007328
                     34,                0.19582,                0.16289,                0.86885,                 0.9365,                0.91412,                0.95515,                0.82554,                 0.7033,                0.45344,                 1.4011,              0.0006932,              0.0006932,              0.0006932
                     35,                0.19961,                0.16367,                0.87393,                0.97782,                0.91086,                0.96267,                0.83244,                0.69079,                0.40641,                 1.4188,              0.0006536,              0.0006536,              0.0006536
                     36,                0.19667,                0.16408,                0.86802,                0.93085,                 0.9178,                0.95571,                0.82449,                0.67379,                0.46439,                 1.3683,               0.000614,               0.000614,               0.000614
                     37,                0.19283,                0.16718,                0.86154,                0.95612,                0.90083,                0.95167,                0.82043,                0.67198,                0.50195,                 1.3764,              0.0005744,              0.0005744,              0.0005744
                     38,                0.19618,                0.16874,                0.86746,                0.94563,                0.89845,                0.95828,                0.82048,                0.68694,                0.46613,                 1.4038,              0.0005348,              0.0005348,              0.0005348
                     39,                0.19207,                0.16563,                 0.8649,                0.95815,                0.89868,                0.95819,                0.82539,                0.69412,                0.43048,                 1.4489,              0.0004952,              0.0004952,              0.0004952
                     40,                0.19408,                0.16127,                0.86684,                0.96293,                0.89876,                0.95881,                0.82034,                0.70235,                0.41303,                 1.4539,              0.0004556,              0.0004556,              0.0004556
                     41,                0.15769,                0.13753,                0.81639,                0.92104,                0.91584,                0.95206,                0.81016,                0.70198,                0.44276,                  1.463,               0.000416,               0.000416,               0.000416
                     42,                0.15784,                0.13897,                0.82209,                0.91994,                0.92562,                0.95838,                0.81014,                0.70095,                0.45489,                 1.4296,              0.0003764,              0.0003764,              0.0003764
                     43,                0.15578,                0.13612,                0.82108,                0.93916,                0.92492,                0.96165,                0.80741,                0.70131,                0.43379,                 1.4186,              0.0003368,              0.0003368,              0.0003368
                     44,                0.15547,                0.13299,                 0.8218,                0.92464,                0.93388,                0.96228,                0.81369,                0.69137,                0.41935,                 1.4032,              0.0002972,              0.0002972,              0.0002972
